city,temp,country,date,latitude,longitude,cloudiness,humidity,wind speed
Novy Urengoy,-7.85,RU,1639071554,66.0833,76.6333,68,99,5.57
Zhaotong,44.13,CN,1639071733,27.3167,103.7167,87,95,2.39
Qaanaaq,0.43,GL,1639071734,77.484,-69.3632,55,85,7.14
Oudtshoorn,62.96,ZA,1639071734,-33.5907,22.2014,45,82,9.17
Nizwá,66.87,OM,1639071734,22.9333,57.5333,2,32,2.15
Tazovsky,-14.22,RU,1639071734,67.4667,78.7,10,99,8.19
Port Alfred,71.04,ZA,1639071734,-33.5906,26.891,46,94,7.94
Khatanga,-5.58,RU,1639071734,71.9667,102.5,99,96,11.65
Sitka,37.29,US,1639071734,57.0531,-135.33,90,87,13.8
San Jose,55,US,1639071734,37.3394,-121.895,90,77,4
Praia,77.54,CV,1639071734,14.9215,-23.5087,20,65,23.02
Tuktoyaktuk,-7.6,CA,1639071735,69.4541,-133.0374,20,77,6.91
Saint-Leu,77.86,RE,1639071735,-21.15,55.2833,97,80,6.69
Torbay,37.58,CA,1639071735,47.6666,-52.7314,90,98,21.85
Kingsland,67.95,US,1639071735,30.8,-81.6898,37,86,3.15
Kruisfontein,65.88,ZA,1639071735,-34.0033,24.7314,93,93,8.21
Abu Dhabi,74.97,AE,1639071594,24.4667,54.3667,42,61,12.21
Tezu,63.3,IN,1639071135,27.9167,96.1667,36,51,4.32
Lompoc,57.25,US,1639071135,34.6391,-120.4579,90,89,5.75
Norrtälje,35.24,SE,1639070840,59.758,18.705,91,64,15.26
Aykhal,-12.59,RU,1639071135,66,111.5,100,95,21.59
Kenai,19.02,US,1639071135,60.5544,-151.2583,90,92,18.41
Longyearbyen,24.64,SJ,1639071135,78.2186,15.6401,75,86,2.3
Menongue,70.32,AO,1639071736,-14.6585,17.691,79,69,3.06
Jalu,59.54,LY,1639071736,29.0331,21.5482,23,39,10.13
Pevek,-17.43,RU,1639071135,69.7008,170.3133,100,95,12.44
